Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
Uganda,9,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Latvia,9,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mauritius,9,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guatemala,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Azerbaijan,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Armenia,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bolivia,8,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Guam,7,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
El Salvador,7,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Rwanda,7,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Costa Rica,7,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Belarus,6,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bahrain,6,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Angola,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Paraguay,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Libya,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Maldives,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Macau SAR China,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Iceland,5,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Suriname,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Moldova,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Panama,4,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Dominican Republic,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Uzbekistan,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Cameroon,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Madagascar,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Zimbabwe,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Laos,3,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Grenada,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Fiji,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Réunion,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Aruba,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Antigua and Barbuda,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Barbados,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Somalia,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Côte d’Ivoire,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Myanmar [Burma],2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Martinique,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Honduras,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Zambia,2,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Saint Vincent and the Grenadines,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Djibouti,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Botswana,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Belize,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Brunei,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Cyprus,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Senegal,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
China,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Montenegro,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Monaco,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Nicaragua,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Papua New Guinea,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Saint Lucia,1,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
